,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
387,100.00000100046782,16.009442799313472,23.642528459622874,73.4022387912842,3968.373333916022,13419.955020431664,24690.86516982012,30.0,592.2483908238037,24053.879249966358,35918.9742778353,1.771362593755285,22349.583995097524,225.0,2227.2736126166565,-0.0
436,100.0000010004906,12.605041910032144,20.97153697038729,46.30881062600323,3108.352347679422,8319.308219222596,17678.104577300106,30.0,463.89704826735624,17168.496956104686,40665.531837680865,2.5470761099955648,15362.53424979055,225.0,2521.5994561676443,-0.0
410,100.00000100056606,14.456597607112698,21.820334652215127,58.99760364716763,3574.6903380785398,10942.859224947226,20672.090478088227,30.0,533.4943117187108,20093.173663069247,39230.56645446544,2.1424872500373255,18307.59767875054,225.0,2432.619728953489,-0.0
386,100.00000100059225,16.2441285808101,23.255762300509137,74.22527431267221,4028.0862577438816,13816.29074074758,24317.796960804,30.0,601.1600732872921,23671.759346805156,36584.36275667156,1.7781108666973229,21950.617654002934,225.0,2268.5332039843765,-0.0
400,100.00000100064179,14.654611902892068,18.54064705438672,59.64800391093003,3624.7571671185697,11244.684372832651,11918.695003093728,30.0,540.9663906884955,11332.143868623212,40035.66301682955,2.1569121828868596,9786.495404113892,225.0,2482.5423774982855,-0.0
435,100.00000100069593,12.974333119662116,20.362544092805386,47.45426434282244,3201.107046394403,8813.91210740211,17325.902595427135,30.0,477.73995477662993,16802.174253393106,42073.075177013765,2.560229939116955,14959.315618493783,225.0,2608.878789760559,-0.0
385,100.00000100079312,16.485082620118025,22.86517250521367,75.06040889147697,4089.4541263843594,14229.213077542743,23930.25298683957,30.0,610.3187431987099,23274.912692809245,37274.929389400124,1.785194175682118,21536.62586943118,225.0,2311.354049227137,-0.0
409,100.00000100079387,14.763025363978574,21.329416020977323,60.001734049433374,3652.185302934119,11411.674049861407,20291.392183486325,30.0,545.059823421052,19700.704580232028,40250.554148072275,2.152564917579532,17889.135176921012,225.0,2495.8674057271014,-0.0
427,100.00000100109668,13.40980730873229,16.983040292952328,48.78448222419275,3310.6463129948647,9415.506799229728,9979.875834550221,30.0,494.08782553306514,9439.439703269256,43931.10725816755,2.5864814743067988,7809.974623674231,225.0,2724.0921528632657,-0.0
434,100.00000100113908,13.362639994297032,19.745553462733092,48.641487692238016,3298.77330587837,9349.38755990141,16945.24487267081,30.0,492.31587295519506,16406.648850321508,43576.271409959016,2.574646205512805,14525.423803319673,225.0,2702.0893942262246,-0.0
384,100.00000100114164,16.73254765514915,22.47047105425753,75.90761567709289,4152.544142801574,14659.62185421814,23527.410588262162,30.0,619.7344300699023,22862.506390344817,37992.205614335755,1.7926363408630888,21106.780896853197,225.0,2355.831110192161,-0.0
351,100.00000100125708,18.573615375884902,22.046257993683582,95.02058119220594,4624.001826887094,18063.068232102552,19145.775367324655,30.0,690.095767385318,18411.218402881324,34623.1251311187,1.4717348616852808,16926.861175213588,225.0,2146.920243166608,-0.0
